Designator,Mid X,Mid Y,Rotation,Layer
C1,109.3216,-58.3946,270.0,top
C10,122.6944,-77.8002,0.0,top
C11,116.2936,-60.325,180.0,top
C12,95.5294,-43.6372,0.0,top
C13,81.915,-66.7766,180.0,top
C14,81.0768,-58.928,90.0,top
C15,80.734,-51.4858,0.0,top
C16,79.2226,-46.3042,0.0,top
C2,107.1626,-50.6984,90.0,top
C3,81.6102,-44.7802,180.0,top
C4,81.153,-64.4522,270.0,top
C5,122.7452,-72.1106,0.0,top
C6,107.3912,-47.6504,0.0,top
C7,102.1458,-43.5356,0.0,top
C8,111.4552,-70.485,0.0,top
C9,91.4908,-69.5198,90.0,top
J2,123.19,-65.024,90.0,top
J4,92.71,-35.814,90.0,top
J5,119.38,-50.8,90.0,top
L1,117.475,-74.7962,90.0,top
LD1,108.9152,-33.0835,180.0,top
LD2,78.9686,-42.3926,90.0,top
LD3,108.9152,-30.0736,180.0,top
LD4,108.9152,-36.0934,180.0,top
Q1,109.5271,-67.4624,180.0,top
R1,116.2944,-61.8744,180.0,top
R10,112.4458,-60.2234,90.0,top
R11,113.9952,-60.2234,90.0,top
R13,111.4552,-62.5348,0.0,top
R14,111.5314,-41.5036,0.0,top
R15,109.7026,-46.4566,270.0,top
R16,78.486,-48.6288,90.0,top
R2,115.4938,-69.2404,0.0,top
R3,114.5286,-66.421,180.0,top
R4,114.5418,-63.5762,180.0,top
R5,81.2546,-41.6306,180.0,top
R6,108.7374,-42.545,90.0,top
R7,109.7026,-39.116,90.0,top
R8,108.1024,-38.5064,90.0,top
R9,125.9078,-39.878,0.0,top
SW1,125.6792,-33.8074,0.0,top
U1,93.98,-56.388,90.0,top
U2,81.026,-74.0664,90.0,top
U3,95.2754,-71.964,90.0,top
Y1,108.2684,-54.6784,90.0,top
