Ref,Val,Package,PosX,PosY,Rot,Side
"C6","100nF","C_0402_1005Metric",98.480000,-38.800000,180.000000,bottom
"C7","100nF","C_0402_1005Metric",98.480000,-40.800000,180.000000,bottom
"C8","100nF","C_0402_1005Metric",98.480000,-36.800000,180.000000,bottom
"C10","100nF","C_0402_1005Metric",98.480000,-42.800000,180.000000,bottom
"C12","100nF","C_0402_1005Metric",98.480000,-41.800000,180.000000,bottom
"C13","100nF","C_0402_1005Metric",98.480000,-39.800000,180.000000,bottom
"C14","100nF","C_0402_1005Metric",98.480000,-43.800000,180.000000,bottom
"C15","100nF","C_0402_1005Metric",98.480000,-37.800000,180.000000,bottom
"C16","1uF","C_0402_1005Metric",96.880000,-36.400000,-90.000000,bottom
"C17","4.7u","C_0402_1005Metric",98.400000,-34.600000,0.000000,bottom
"C24","22u","C_0402_1005Metric",101.600000,-36.680000,90.000000,bottom
"C27","22u","C_0402_1005Metric",101.600000,-42.000000,90.000000,bottom
"D1","SP0502BAHT","SOT-23",119.200000,-37.800000,-90.000000,bottom
"D2","D_Schottky_Small","D_SOD-323",96.450000,-31.950000,90.000000,bottom
"D3","SP0502BAHT","SOT-23",124.462500,-37.400000,0.000000,bottom
"J2","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",118.890000,-30.170000,0.000000,bottom
"J5","Micro_SD_Card_Det","microSD_HC_Hirose_DM3AT-SF-PEJM5",86.910000,-36.540000,0.000000,bottom
"J8","AudioJack3_Ground","Jack_3.5mm_PJ31060-I_Horizontal",108.025000,-35.025000,180.000000,bottom
"Q3","PJM2319PSA","SOT-23",99.300000,-31.687500,-90.000000,bottom
"R3","20","R_0402_1005Metric",120.000000,-40.800000,-90.000000,bottom
"R4","20","R_0402_1005Metric",118.300000,-40.800000,-90.000000,bottom
"R16","0","R_0402_1005Metric",98.370000,-35.800000,180.000000,bottom
"R17","10k","R_0402_1005Metric",98.650000,-29.150000,0.000000,bottom
"R21","0R","R_0402_1005Metric",101.600000,-34.710000,90.000000,bottom
"R24","0R","R_0402_1005Metric",101.600000,-39.400000,90.000000,bottom
